# r[cm]  T_gas[K]  T_dust[K]  n_H2[cm^-3]
  2.000000e+15   2.000000e+03   3.575372e+02   8.093206e+06
  2.177273e+15   1.834706e+03   3.455955e+02   6.780718e+06
  2.370259e+15   1.680152e+03   3.340527e+02   5.684855e+06
  2.580351e+15   1.537239e+03   3.228954e+02   4.768937e+06
  2.809064e+15   1.405922e+03   3.121107e+02   4.002724e+06
  3.058049e+15   1.285672e+03   3.016862e+02   3.361230e+06
  3.329104e+15   1.175749e+03   2.916099e+02   2.823766e+06
  3.624185e+15   1.075343e+03   2.818702e+02   2.373169e+06
  3.945420e+15   9.836549e+02   2.724558e+02   1.995180e+06
  4.295128e+15   8.999245e+02   2.633558e+02   1.677931e+06
  4.675833e+15   8.234482e+02   2.545597e+02   1.411537e+06
  5.090283e+15   7.535814e+02   2.460574e+02   1.187748e+06
  5.541468e+15   6.897368e+02   2.378392e+02   9.996778e+05
  6.032644e+15   6.313810e+02   2.298954e+02   8.415698e+05
  6.567357e+15   5.780293e+02   2.222169e+02   7.086081e+05
  7.149465e+15   5.292421e+02   2.147949e+02   5.967607e+05
  7.783169e+15   4.846197e+02   2.076207e+02   5.026499e+05
  8.473042e+15   4.437990e+02   2.006862e+02   4.234439e+05
  9.224063e+15   4.064499e+02   1.939833e+02   3.567677e+05
  1.004165e+16   3.722718e+02   1.875043e+02   3.006280e+05
  1.093171e+16   3.408717e+02   1.812417e+02   2.533511e+05
  1.190066e+16   3.121395e+02   1.751882e+02   2.135311e+05
  1.295549e+16   2.855637e+02   1.693370e+02   1.799870e+05
  1.410382e+16   2.597578e+02   1.636811e+02   1.517256e+05
  1.535393e+16   2.348234e+02   1.582142e+02   1.279120e+05
  1.671485e+16   2.110242e+02   1.529298e+02   1.078438e+05
  1.819640e+16   1.885723e+02   1.478220e+02   9.093020e+04
  1.980927e+16   1.676233e+02   1.428848e+02   7.667393e+04
  2.156509e+16   1.482760e+02   1.381124e+02   6.465642e+04
  2.347654e+16   1.305765e+02   1.334995e+02   5.452527e+04
  2.555742e+16   1.145239e+02   1.290406e+02   4.598376e+04
  2.782275e+16   1.000786e+02   1.247307e+02   3.878197e+04
  3.028886e+16   8.717108e+01   1.205647e+02   3.270939e+04
  3.297356e+16   7.571003e+01   1.165378e+02   2.758867e+04
  3.589622e+16   6.559008e+01   1.126455e+02   2.327038e+04
  3.907793e+16   5.670754e+01   1.088831e+02   1.962861e+04
  4.254167e+16   4.901553e+01   1.052465e+02   1.655723e+04
  4.631241e+16   4.237443e+01   1.017312e+02   1.396680e+04
  5.041738e+16   3.664075e+01   9.833343e+01   1.178193e+04
  5.488620e+16   3.169082e+01   9.504910e+01   9.939066e+03
  5.975113e+16   2.741807e+01   9.187447e+01   8.384615e+03
  6.504726e+16   2.373065e+01   8.880587e+01   7.073406e+03
  7.081282e+16   2.054945e+01   8.583977e+01   5.967347e+03
  7.708943e+16   1.780629e+01   8.297273e+01   5.034318e+03
  8.392237e+16   1.544250e+01   8.020145e+01   4.247234e+03
  9.136095e+16   1.340756e+01   7.752273e+01   3.583251e+03
  9.945887e+16   1.165800e+01   7.493348e+01   3.023107e+03
  1.082746e+17   1.015644e+01   7.243071e+01   2.550554e+03
  1.178716e+17   8.870781e+00   7.001153e+01   2.151889e+03
  1.283194e+17   7.773444e+00   6.767315e+01   1.815554e+03
  1.396932e+17   6.840800e+00   6.541287e+01   1.531800e+03
  1.520751e+17   6.052616e+00   6.322809e+01   1.292405e+03
  1.655545e+17   5.391607e+00   6.111628e+01   1.090430e+03
  1.802287e+17   4.843046e+00   5.907500e+01   9.200262e+02
  1.962035e+17   4.394424e+00   5.710190e+01   7.762561e+02
  2.135943e+17   4.035164e+00   5.519471e+01   6.549563e+02
  2.325265e+17   3.756374e+00   5.335121e+01   5.526139e+02
  2.531369e+17   3.550637e+00   5.156928e+01   4.662655e+02
  2.755741e+17   3.411833e+00   4.984688e+01   3.934111e+02
  3.000000e+17   3.334979e+00   4.818200e+01   3.319415e+02
